trial_number,score,pivot_len,msb_zscore,atr_period,atr_multiplier,tp1_multiplier,tp2_multiplier,tp3_multiplier,total_trades,win_rate,avg_win,avg_loss,profit_loss_ratio,cumulative_return,max_drawdown,sharpe_ratio
15,1.739338503012332,8,0.45501910908886617,11,1.0468613922223877,0.4847108524975617,0.9426446808159047,2.4323270275254476,61,72.1311475409836,0.0013828154968156486,-0.0016166383025157465,0.8553647990795267,0.04049356392461223,0.009658358212559955,1.957737682960923
16,0.6164778263634304,9,0.4463388346376127,13,1.0206854976573643,0.5145363249849166,0.9543197197221378,2.446561448690599,55,69.0909090909091,0.0014775223853576457,-0.0021823680499035445,0.6770271336326376,0.02801000969843348,0.009658358212559573,1.3398153510171205
17,1.7654629526744183,7,0.3178654963579325,11,0.8252062896453669,0.32912487306568133,0.8081839552003481,2.493401820102862,77,71.42857142857143,0.001426032167293593,-0.001794852494752432,0.7945121793923734,0.04490447992177393,0.011279924606511949,1.8318949416066348
18,2.150114040266986,7,0.4182489211349888,14,1.2500852588835865,0.30201864600899553,0.8018794712471167,2.4841333944440493,75,72.0,0.001407217902947133,-0.0014162771203254944,0.9936034994505316,0.053120237307753726,0.010648699854346666,2.3008929811056635
19,1.6970289059531736,7,0.20364171419476962,17,1.2525625573458499,0.33943730981328823,0.8076426681233244,1.3903067606190236,80,73.75,0.0014277552258306818,-0.002172267415054965,0.6572649462656306,0.045925921004363435,0.011585365853658547,1.7186816911988423
20,1.122076051712238,6,0.29013747020377456,15,1.4102719077632375,0.3700922904525524,0.8057383701649887,1.2091932499070344,85,70.58823529411765,0.0013972751924611394,-0.0025901085055442382,0.5394658908961582,0.029591471360146615,0.01755789354926014,1.0482008938361411
21,2.1243639069869196,7,0.39712272457001974,13,1.0381740137162105,0.3003782536473439,0.9075073397169597,2.4205182134028522,75,72.0,0.001407217902947133,-0.0014669584000369324,0.9592759432794444,0.052224759354670525,0.009658358212559491,2.320527808605771
22,2.114136557319254,7,0.36310070953852214,14,0.9574726745749031,0.3073085848772811,0.8548678231045393,2.491312755983375,76,71.05263157894737,0.001407217902947133,-0.001420970813770188,0.9903214684708652,0.05155219638927733,0.009658358212559911,2.289880140484539
23,2.2030092364177736,7,0.4006431378514552,14,1.165492507024984,0.3106816499226019,0.895120925038454,2.3502550403893645,75,72.0,0.001407217902947133,-0.0013569393300648038,1.0370529262203108,0.054174411719474236,0.009658358212559491,2.348999438467215
24,1.207251866214188,6,0.404015595883568,13,1.1674621198784352,0.41204638790101666,0.95922169993708,2.150378757772914,82,73.17073170731707,0.0014023809786628053,-0.0028443838510699942,0.493035065620718,0.0331770869421526,0.016574468017276443,1.1549870037428296
