,open_interest
2024-11-08 11:30:00,1770566.0
2024-11-08 13:30:00,1765697.0
2024-11-08 13:35:00,1768846.0
2024-11-08 13:40:00,1772930.0
2024-11-08 13:45:00,1775192.0
2024-11-08 13:50:00,1778269.0
2024-11-08 13:55:00,1780593.0
2024-11-08 14:00:00,1780632.0
2024-11-08 14:05:00,1785355.0
2024-11-08 14:10:00,1788220.0
2024-11-08 14:15:00,1791845.0
2024-11-08 14:20:00,1792456.0
2024-11-08 14:25:00,1796975.0
2024-11-08 14:30:00,1800632.0
2024-11-08 14:35:00,1804829.0
2024-11-08 14:40:00,1806165.0
2024-11-08 14:45:00,1800937.0
2024-11-08 14:50:00,1795652.0
2024-11-08 14:55:00,1785128.0
2024-11-08 15:00:00,1777628.0
2024-11-08 21:00:00,1778497.0
2024-11-08 21:05:00,1787098.0
2024-11-08 21:10:00,1795633.0
2024-11-08 21:15:00,1798146.0
2024-11-08 21:20:00,1796452.0
2024-11-08 21:25:00,1791212.0
2024-11-08 21:30:00,1786775.0
2024-11-08 21:35:00,1783009.0
2024-11-08 21:40:00,1784457.0
2024-11-08 21:45:00,1787348.0
2024-11-08 21:50:00,1790582.0
2024-11-08 21:55:00,1790937.0
2024-11-08 22:00:00,1791525.0
2024-11-08 22:05:00,1792344.0
2024-11-08 22:10:00,1793128.0
2024-11-08 22:15:00,1797358.0
2024-11-08 22:20:00,1797164.0
2024-11-08 22:25:00,1798687.0
2024-11-08 22:30:00,1798837.0
2024-11-08 22:35:00,1798243.0
2024-11-08 22:40:00,1795493.0
2024-11-08 22:45:00,1800629.0
2024-11-08 22:50:00,1805396.0
2024-11-08 22:55:00,1795398.0
2024-11-08 23:00:00,1790940.0
2024-11-11 09:00:00,1801011.0
2024-11-11 09:05:00,1810270.0
2024-11-11 09:10:00,1813094.0
2024-11-11 09:15:00,1817848.0
2024-11-11 09:20:00,1825049.0
2024-11-11 09:25:00,1827238.0
2024-11-11 09:30:00,1823846.0
2024-11-11 09:35:00,1824783.0
2024-11-11 09:40:00,1824480.0
2024-11-11 09:45:00,1826847.0
2024-11-11 09:50:00,1832267.0
2024-11-11 09:55:00,1834306.0
2024-11-11 10:00:00,1835300.0
2024-11-11 10:05:00,1837706.0
2024-11-11 10:10:00,1834087.0
2024-11-11 10:15:00,1833109.0
2024-11-11 10:30:00,1833311.0
2024-11-11 10:35:00,1836073.0
2024-11-11 10:40:00,1838519.0
2024-11-11 10:45:00,1841731.0
2024-11-11 10:50:00,1844367.0
2024-11-11 10:55:00,1845227.0
2024-11-11 11:00:00,1849051.0
2024-11-11 11:05:00,1850529.0
2024-11-11 11:10:00,1850901.0
2024-11-11 11:15:00,1851869.0
2024-11-11 11:20:00,1852196.0
2024-11-11 11:25:00,1849408.0
2024-11-11 11:30:00,1848437.0
2024-11-11 13:30:00,1843083.0
2024-11-11 13:35:00,1847575.0
2024-11-11 13:40:00,1857949.0
2024-11-11 13:45:00,1863007.0
2024-11-11 13:50:00,1867081.0
2024-11-11 13:55:00,1868626.0
2024-11-11 14:00:00,1876825.0
2024-11-11 14:05:00,1882212.0
2024-11-11 14:10:00,1883538.0
2024-11-11 14:15:00,1883754.0
2024-11-11 14:20:00,1881548.0
2024-11-11 14:25:00,1881588.0
2024-11-11 14:30:00,1873773.0
2024-11-11 14:35:00,1870896.0
2024-11-11 14:40:00,1862708.0
2024-11-11 14:45:00,1857055.0
2024-11-11 14:50:00,1850760.0
2024-11-11 14:55:00,1838034.0
2024-11-11 15:00:00,1832000.0
2024-11-11 21:00:00,1832157.0
2024-11-11 21:05:00,1835331.0
2024-11-11 21:10:00,1838321.0
2024-11-11 21:15:00,1840745.0
2024-11-11 21:20:00,1842660.0
2024-11-11 21:25:00,1845068.0
2024-11-11 21:30:00,1841780.0
2024-11-11 21:35:00,1845002.0
2024-11-11 21:40:00,1846221.0
2024-11-11 21:45:00,1846859.0
2024-11-11 21:50:00,1846722.0
2024-11-11 21:55:00,1844127.0
2024-11-11 22:00:00,1846775.0
2024-11-11 22:05:00,1847178.0
2024-11-11 22:10:00,1847831.0
2024-11-11 22:15:00,1844313.0
2024-11-11 22:20:00,1843842.0
2024-11-11 22:25:00,1844647.0
2024-11-11 22:30:00,1843564.0
2024-11-11 22:35:00,1843476.0
