trial_number,score,pivot_len,msb_zscore,atr_period,atr_multiplier,tp1_multiplier,tp2_multiplier,tp3_multiplier,total_trades,win_rate,avg_win,avg_loss,profit_loss_ratio,cumulative_return,max_drawdown,sharpe_ratio
13,8.09783875247264,6,0.5227264261232427,13,1.7006048957554554,0.8541268434331142,1.270290161237054,1.9803362761944856,165,83.03030303030303,0.0032829090483883425,-0.0058268517544046786,0.5634104292951508,0.35887925776974705,0.030429001911035227,2.3162980845321304
14,6.113031058908151,6,0.5044561416542584,13,1.8725888765577723,0.5680853588347615,1.2932332119403918,1.8857920679854225,171,80.11695906432749,0.002594511148853923,-0.004409930164358437,0.5883338402551271,0.2633175525819227,0.031772137164006425,2.03782157055882
15,6.875491207875563,7,0.5192416975537006,17,1.6782752158721284,0.9147778411035679,1.3803754634644378,1.9792398803005953,149,84.56375838926175,0.0032116751272798687,-0.006174555535181208,0.5201467715336718,0.3020964086305844,0.030429001911034457,2.085014422168021
16,3.759920341880792,5,0.3609275347563366,14,0.8003496359129455,0.7999484346201753,1.2446570105816117,1.724006038000551,187,75.93582887700535,0.0030425584319445503,-0.0053595017662239714,0.5676942679856938,0.23284595693942722,0.053279895173167564,1.6243930937753184
17,5.778437173883827,9,0.2576982466488271,17,1.605620978812479,0.596804407612822,1.4176698049493603,1.5223650284219503,127,83.46456692913385,0.0024835028192486696,-0.002761518188444749,0.8993251717988306,0.23589139433104922,0.030429001911035376,2.3362640618110335
18,8.081585971673533,6,0.569346061126204,13,1.8712695524249234,0.9362233322831504,1.2330721896287486,1.3717246057274592,163,83.43558282208589,0.003432773590429977,-0.006508786760754406,0.5274060614688348,0.3598968020163942,0.030429001911035466,2.242291689193717
19,4.9011205617718,8,0.5549172041062059,13,1.9805617853705852,0.48108906969943466,0.9930023922507982,1.3749746491026051,140,79.28571428571428,0.002290678236159443,-0.0028361735986708737,0.8076650305301946,0.19909566858685013,0.030429001911035453,1.9871372594090657
20,4.648036514459844,5,0.429005436941181,14,1.8544204239794913,0.8461130283317111,1.2420093625666162,1.2204329318656313,181,81.21546961325967,0.0031798167936200766,-0.006889677890521097,0.46153344817395703,0.29535152624402716,0.06529427301491682,1.8280275312131222
21,8.27192599340881,6,0.563577555117738,16,1.8219708874632292,0.938290379813818,1.2957626912039366,1.8051720068149688,162,84.5679012345679,0.0034269669018316376,-0.0062854681893761725,0.5452206261458721,0.36834513408487224,0.030429001911035182,2.289783537510052
22,6.334783045077307,7,0.5379981951901515,13,1.641478443165472,0.924736845501052,1.2925054758974903,1.3657501914983206,149,81.87919463087249,0.0032403493449029456,-0.006172363187721683,0.5249771029917327,0.27682183465539034,0.030970225320698447,1.9611850359093574
23,8.262234831836414,6,0.5666537818735097,14,1.8727968930987697,0.978747445909936,1.2087781784405145,2.303982554083004,162,84.5679012345679,0.0034444867231017266,-0.0064015421052458,0.538071400058294,0.3681066478111692,0.030429001911034766,2.2829110519657076
24,6.942927938535245,7,0.459400075951868,16,1.752858881720351,0.9991027780535089,1.1810689108011525,2.320573809925337,149,83.89261744966443,0.003255479723519332,-0.005893275078881664,0.5524058659988951,0.3046809917701472,0.030429001911035158,2.0944858557758113
25,4.252459686008033,5,0.5847364535859075,14,1.554491548704049,0.871422992529312,1.1489571027068801,2.0317642590645137,178,79.7752808988764,0.003288841873213854,-0.007041946712061751,0.4670358932964635,0.26901215361423425,0.060456230290519115,1.692949929932113
26,7.700222583773828,6,0.33012690583274895,16,1.9351843206441344,0.8131689354338933,1.3167479270823588,2.3605818493137436,172,83.72093023255815,0.0030176130245755045,-0.005729885710090968,0.5266445400928593,0.34134169378879453,0.033692510754768104,2.2091029732026426
27,7.142031132167912,6,0.4641840461810725,12,1.7240589695552049,0.7170160036647679,1.2731534824142217,2.1249947833415486,171,82.45614035087719,0.003007466940541122,-0.0059007587244785,0.5096746165988879,0.314717580831706,0.03538333750760358,2.1460322296474565
28,7.598469553206299,7,0.4245049257632724,14,1.8326988251722816,0.9540575807654179,1.4346472151118388,1.7537011859440297,150,85.33333333333334,0.0032224376820807928,-0.005585131027782078,0.5769672485840428,0.3349066485214589,0.030429001911034727,2.231832277811679
29,6.687722563541727,7,0.2932372086724449,10,1.5956818205298342,0.8734045504148763,1.0993733472249139,2.225013577136814,155,81.93548387096774,0.003122570895851357,-0.005710235358504863,0.5468375119075571,0.29255889125271595,0.03058086580203011,2.059365779081283
30,5.84141013785709,9,0.5145743606596335,11,1.921493420737219,0.7301315776155771,1.185694906424787,1.642665382608545,120,82.5,0.0028279250764987555,-0.003412108640263986,0.8287910423274114,0.24193050252439274,0.031085608902950507,2.2376122347942347
31,8.012181776086493,6,0.5809179958648917,13,1.8799846301855423,0.942358753370948,1.2331011277480373,1.4886171277607505,162,83.33333333333334,0.0034404342797936522,-0.006508786760754406,0.5285830380153499,0.3566415804813736,0.0304290019110348,2.226389837509602
32,4.590929914295129,5,0.561491031693621,15,1.79078729723551,0.8947356825721001,1.3421122350462935,1.957885006033393,176,81.81818181818183,0.0033524096540023286,-0.0072518329088583355,0.4622844591340843,0.2919857238707608,0.06078936262513314,1.7794768168901631
33,8.077938085750013,6,0.6187310642477926,12,1.9279372271883564,0.958321318381222,1.1912094225759084,1.8267844546721081,162,83.33333333333334,0.0034493674773423823,-0.006467907028925447,0.533305049363928,0.3596038472039216,0.03042900191103511,2.2417970730867003
34,7.485738083148947,6,0.650203116043777,14,1.7151511618423279,0.8322773886881641,1.2667169355583414,2.3884190527856304,162,82.71604938271605,0.0031981423422416605,-0.0058268517544046786,0.548862829713163,0.33050106032722315,0.033692510754768236,2.187239149064062
35,4.3029892635501215,5,0.5909684937397652,11,1.827225353216323,0.9128232083945298,1.1203538404747162,1.3634808446392843,176,80.68181818181817,0.003347306697878472,-0.007484308362932865,0.44724329030274856,0.27305188882187914,0.06078936262513305,1.6906414226621158
36,6.193966657177025,7,0.5311524363887776,16,1.5570004550385472,0.6592167185365286,1.3283651903253055,2.268821205987106,154,81.81818181818183,0.0026973825978127484,-0.004439701492159493,0.6075594502414909,0.2654912888012406,0.03042900191103477,2.1370570035187226
