,vwap
2024-04-01 10:15:00,34016.817307692305
2024-04-01 10:30:00,34011.77566562028
2024-04-01 10:45:00,33982.9890341303
2024-04-01 11:00:00,33896.53013606207
2024-04-01 11:15:00,33890.11786398641
2024-04-01 11:30:00,33909.4920457717
2024-04-01 13:30:00,33868.180892337536
2024-04-01 13:45:00,33988.648789583465
2024-04-01 14:00:00,34135.29573115175
2024-04-01 14:15:00,34214.43679025178
2024-04-01 14:30:00,34300.07729257642
2024-04-01 14:45:00,34383.08680279236
2024-04-01 15:00:00,34391.75617159948
2024-04-01 21:00:00,35045.57153682858
2024-04-01 21:15:00,35169.13457828536
2024-04-01 21:30:00,35115.262802095654
2024-04-01 21:45:00,35173.19731287731
2024-04-01 22:00:00,35264.4773600137
2024-04-01 22:15:00,35282.11095715199
2024-04-01 22:30:00,35380.324869910306
2024-04-01 22:45:00,35318.28320802005
2024-04-01 23:00:00,35300.95476667621
2024-04-02 09:00:00,35234.489201165714
2024-04-02 09:15:00,35153.957659469066
2024-04-02 09:30:00,35159.796446334025
2024-04-02 09:45:00,35113.83284101412
2024-04-02 10:00:00,35041.44726942351
2024-04-02 10:15:00,34984.254459777854
2024-04-02 10:30:00,34907.041047772866
2024-04-02 10:45:00,34945.433164283015
2024-04-02 11:00:00,34939.74840842311
2024-04-02 11:15:00,35012.8063109543
2024-04-02 11:30:00,34978.668996188055
2024-04-02 13:30:00,34983.96581737616
2024-04-02 13:45:00,34961.65470365922
2024-04-02 14:00:00,35115.582737887766
2024-04-02 14:15:00,35230.354669850305
2024-04-02 14:30:00,35136.8173796414
2024-04-02 14:45:00,35092.00255504838
2024-04-02 15:00:00,35085.32300191538
2024-04-02 21:00:00,35125.631769258776
2024-04-02 21:15:00,35272.30534651979
2024-04-02 21:30:00,35333.72461818145
2024-04-02 21:45:00,35258.15119224893
2024-04-02 22:00:00,35285.256965438355
2024-04-02 22:15:00,35292.74685950721
2024-04-02 22:30:00,35278.79069942719
2024-04-02 22:45:00,35264.87299893276
2024-04-02 23:00:00,35273.48864434558
2024-04-03 09:00:00,35307.01399931849
2024-04-03 09:15:00,35305.116034985425
2024-04-03 09:30:00,35238.53401481834
2024-04-03 09:45:00,35149.719223426706
2024-04-03 10:00:00,35155.712937846445
2024-04-03 10:15:00,35135.22848034006
2024-04-03 10:30:00,35166.6318086267
2024-04-03 10:45:00,35124.500580720094
2024-04-03 11:00:00,35141.77456182666
2024-04-03 11:15:00,35123.531667762436
2024-04-03 11:30:00,35146.71951679879
2024-04-03 13:30:00,35132.79026572954
2024-04-03 13:45:00,35130.50561014705
2024-04-03 14:00:00,35029.64149816873
2024-04-03 14:15:00,34928.65643060766
2024-04-03 14:30:00,34914.570048497364
2024-04-03 14:45:00,34766.83871926621
2024-04-03 15:00:00,34644.590927280005
2024-04-08 09:00:00,34738.123082945
